n_params,,my_signal_loss,monai_signal_loss,my_time,monai_time,,,,
5,['scale_params', 'shear_params', 'translate_params', 'flip_params', 'rotate_params'],2183.9058,2629.477,0.552550077,2.32387805
5,['scale_params', 'rotate_params', 'shear_params', 'flip_params', 'translate_params'],350.384,1014.3986,0.48574996,2.304780006
5,['translate_params', 'scale_params', 'shear_params', 'flip_params', 'rotate_params'],355.27695,1012.4075,0.51552701,2.250570059
5,['shear_params', 'scale_params', 'translate_params', 'rotate_params', 'flip_params'],422.91287,1321.9774,0.498306036,2.204409838
5,['shear_params', 'translate_params', 'rotate_params', 'flip_params', 'scale_params'],4810.152,6004.4697,0.505806208,2.158401966
5,['scale_params', 'flip_params', 'translate_params', 'shear_params', 'rotate_params'],1588.6249,2198.2927,0.466810226,2.310477972
5,['rotate_params', 'flip_params', 'shear_params', 'translate_params', 'scale_params'],384.93674,1090.0103,0.487010956,2.101423979
5,['scale_params', 'flip_params', 'translate_params', 'rotate_params', 'shear_params'],416.6988,1340.4879,0.510236025,2.16166091
5,['flip_params', 'translate_params', 'scale_params', 'shear_params', 'rotate_params'],335.4355,991.8776,0.535078287,2.227989912
5,['rotate_params', 'scale_params', 'flip_params', 'translate_params', 'shear_params'],880.8017,1461.3619,0.640153885,2.362837076
5,['translate_params', 'shear_params', 'rotate_params', 'flip_params', 'scale_params'],328.10025,1008.7015,0.506676912,2.130466938
5,['rotate_params', 'scale_params', 'shear_params', 'translate_params', 'flip_params'],398.95374,1077.8374,0.474556923,2.119457006
5,['translate_params', 'rotate_params', 'flip_params', 'scale_params', 'shear_params'],378.0388,1046.0935,0.54591012,2.229669094
5,['shear_params', 'rotate_params', 'scale_params', 'flip_params', 'translate_params'],1415.7305,2181.2925,0.502919912,2.185636997
5,['translate_params', 'shear_params', 'scale_params', 'flip_params', 'rotate_params'],894.05426,1440.6112,0.505397081,2.187815905
